application_id,customer_id,related_parties_id,document_id,document_url,db_status,s3_status
1017,1033,418,6959,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/418/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
1017,1033,,6968,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1033/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
1017,1033,,6969,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1033/CUST_HOUSE_OUT.jpg,,
1017,1033,,6970,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1033/CHEQUE_PHOTO.jpg,,
1020,1038,,6973,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1038/AFFIDAVIT_FOR_2NDHAND_VEHICLE.jpg,,
1033,1051,,7586,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1051/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
1033,1051,,7587,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1051/CUSTOMER_ELECTRICITY.jpg,,
1033,1051,452,7588,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/452/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
1033,1051,,7594,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1051/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
1033,1051,,7596,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1051/BANK_PASSBOOK_PHOTO.jpg,,
1033,1051,,7595,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1051/CHEQUE_PHOTO.jpg,,
1033,1051,,7597,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1051/CUSTOMER_SIGNING_AGREEMENT_PHOTO.jpg,,
1038,1056,,7599,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1056/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
1038,1056,,7600,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1056/CUSTOMER_ELECTRICITY.jpg,,
1038,1056,453,7601,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/453/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
1038,1056,,7606,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1056/CUSTOMER_WITH_HOUSE_PHOTO.jpg,,
1038,1056,,7607,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1056/CUST_HOUSE_OUT.jpg,,
1120,1141,,9817,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1141/CUST_HOUSE_OUT.jpeg,,
1120,1141,,9819,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1141/BANK_PASSBOOK_PHOTO.jpeg,,
1170,225,559,9905,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/559/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
1038,1056,,7608,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1056/CHEQUE_PHOTO.jpg,,
1038,1056,,7609,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1056/BANK_PASSBOOK_PHOTO.jpg,,
1045,1063,,7624,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1063/CUSTOMER_ADDRESS_VERIFICATION.jpg,,
1045,1063,,7625,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/customer/1063/CUSTOMER_VOTER.jpg,,
1045,1063,454,7626,https://prod-opstech-upload.s3.ap-south-1.amazonaws.com/prod/related-party/454/CUSTOMER_WITH_CO_BORROWER_PHOTO.jpg,,
